processo,ano,tribunal,comarca,autor_tipo,reu,setor,resultado,ganhou_autor,valor_condenacao,n_chars
0800405-02.2022.8.19.0010,2022,TJRJ,Bom Jesus de Itabapoana,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,1057
0800405-11.2025.8.20.5105,2025,TJRN,Macau,PESSOA FÍSICA,,,ACORDO HOMOLOGADO,,,2836
0800405-83.2020.8.19.0038,2020,TJRJ,Nova Iguaçu,PESSOA FÍSICA,CLARO,Telecomunicações,ACORDO HOMOLOGADO,,,1190
0800409-33.2022.8.19.0206,2022,TJRJ,Rio de Janeiro,PESSOA FÍSICA,TODOS EMPRENDIMENTOS,Outros,ACORDO HOMOLOGADO,,,2434
0800411-58.2021.8.19.0005,2021,TJRJ,Arraial do Cabo,PESSOA FÍSICA,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE,Ensino,IMPROCEDENTE,False,3000.0,4466
0800413-84.2017.8.20.5002,2017,TJRN,Natal,PESSOA FÍSICA,,,IMPROCEDENTE,False,34.0,3530
0800414-05.2022.8.19.0061,2022,TJRJ,Teresópolis,PESSOA FÍSICA,TELEMAR NORTE LESTE,Telecomunicações,IMPROCEDENTE,False,,2866
0800415-16.2020.8.19.0075,2020,TJRJ,Magé,PESSOA FÍSICA,AMPLA ENERGIA E SERVIÇOS,Energia,ACORDO HOMOLOGADO,,,884
0800416-74.2025.8.20.5126,2025,TJRN,Santa Cruz,PESSOA FÍSICA,,,IMPROCEDENTE,False,,10519
0800417-47.2022.8.10.0016,2022,TJMA,,,,,PROCEDENTE,True,3000.0,9034
0800417-73.2020.8.18.0152,2020,TJPI,Picos,PESSOA FÍSICA,AEROLINEAS ARGENTINAS,Transporte aéreo,IMPROCEDENTE,False,,19010
